epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8884,3.58248,8.20929,2.36089,0.00019,0.03238,0.00045,0.0002,3.54087,4.89571,2.04325,0.000466993,0.000466993,0.000466993
2,42.6992,3.43676,4.71401,2.05628,0.00023,0.07511,0.00018,5e-05,3.80344,5.08214,2.07349,0.000933988,0.000933988,0.000933988
3,58.2511,3.40914,4.62398,1.98987,0,0,0,0,0.12752,nan,25.7133,0.00139155,0.00139155,0.00139155
4,73.9059,3.37332,4.62608,2.0208,0.00099,0.04148,0.00051,0.00017,3.80874,4.41821,2.44389,0.00138656,0.00138656,0.00138656
5,89.6084,3.48094,4.69005,1.95361,0.0004,0.03176,0.0002,5e-05,nan,nan,nan,0.00137241,0.00137241,0.00137241
6,105.011,3.40493,4.6058,1.8802,0.00131,0.08722,0.00069,0.0002,3.62524,4.6047,1.95974,0.00135826,0.00135826,0.00135826
7,120.536,3.35508,4.57771,1.86448,0.00014,0.04403,9e-05,3e-05,3.56646,4.13558,2.01089,0.00134412,0.00134412,0.00134412
8,135.756,3.31431,4.53776,1.8718,0.00049,0.04312,0.00027,8e-05,3.40011,4.286,1.85145,0.00132997,0.00132997,0.00132997
9,151.562,3.31915,4.5279,1.81493,0.00047,0.17715,0.00036,8e-05,3.48316,3.90463,1.75934,0.00131582,0.00131582,0.00131582
10,166.987,3.34419,4.54477,1.81733,0.00057,0.20044,0.00041,0.00011,3.42015,3.84677,1.72872,0.00130168,0.00130168,0.00130168
11,182.664,3.25912,4.50009,1.79283,0.00056,0.06383,0.00031,7e-05,3.48243,4.13139,1.95951,0.00128753,0.00128753,0.00128753
12,198.046,3.22569,4.51406,1.78913,0.00019,0.00649,0.0001,2e-05,3.37115,3.99268,1.68294,0.00127338,0.00127338,0.00127338
13,213.464,3.23824,4.4983,1.77149,3e-05,0.00216,2e-05,0,3.6822,4.18524,1.90884,0.00125923,0.00125923,0.00125923
14,228.814,3.23844,4.47117,1.75015,0.00098,0.12597,0.00062,0.00012,3.53291,4.00423,1.9072,0.00124509,0.00124509,0.00124509
15,243.46,3.22198,4.50556,1.75539,0.00072,0.02814,0.00045,0.00015,3.53501,4.32787,1.80585,0.00123094,0.00123094,0.00123094
16,258.184,3.2147,4.48275,1.73919,0.00049,0.18872,0.00039,0.00011,3.49285,3.90287,1.75206,0.00121679,0.00121679,0.00121679
17,273.751,3.1994,4.44848,1.76322,0.00017,0.08722,0.00011,4e-05,3.5163,4.12129,1.84475,0.00120265,0.00120265,0.00120265
18,289.648,3.12153,4.40441,1.73472,0.00048,0.161,0.00041,0.00011,3.56736,4.00729,1.8428,0.0011885,0.0011885,0.0011885
19,305.223,3.18707,4.42841,1.75138,0.00011,0.01107,5e-05,2e-05,3.60646,4.0326,1.8377,0.00117435,0.00117435,0.00117435
20,319.892,3.1725,4.42954,1.71915,0,0,0,0,3.42447,4.12144,1.5722,0.00116021,0.00116021,0.00116021
21,335.28,3.17845,4.45648,1.70269,0.00083,0.08041,0.00047,0.00012,3.56492,4.00232,1.88939,0.00114606,0.00114606,0.00114606
22,350.908,3.22343,4.42489,1.73175,0.00066,0.11995,0.00043,0.00011,3.4301,3.97537,1.78287,0.00113191,0.00113191,0.00113191
23,365.434,3.18602,4.39642,1.70844,0.00059,0.05927,0.00038,0.00012,3.41806,3.92529,1.59769,0.00111776,0.00111776,0.00111776
24,380.047,3.14833,4.39727,1.69783,0.00023,0.08739,0.00015,4e-05,3.88961,4.25761,2.07322,0.00110362,0.00110362,0.00110362
25,395.679,3.14748,4.3894,1.68254,0.00047,0.18255,0.00038,0.00012,3.60384,4.07326,1.93289,0.00108947,0.00108947,0.00108947
26,411.268,3.13089,4.41523,1.70825,0,0,0,0,3.5575,4.0764,1.887,0.00107532,0.00107532,0.00107532
27,427.014,3.13637,4.37331,1.71437,0.00056,0.21019,0.00043,0.00012,3.40025,3.92147,1.7874,0.00106118,0.00106118,0.00106118
