epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4183,2.29689,6.48612,1.58148,0.1567,0.09634,0.09926,0.05235,1.67856,4.31533,1.17488,0.00035725,0.00035725,0.00035725
2,25.5381,1.78414,3.40486,1.28489,0.05351,0.35405,0.05827,0.03323,1.72705,3.6518,1.28069,0.000721575,0.000721575,0.000721575
3,33.1413,1.88046,3.10306,1.36974,0.22555,0.45188,0.21279,0.09945,1.86854,4.79589,1.2019,0.00107854,0.00107854,0.00107854
4,40.9711,1.99244,2.97882,1.40705,0.15246,0.17212,0.09102,0.04629,2.06534,6.46346,1.43498,0.00138656,0.00138656,0.00138656
5,49.3576,1.87127,2.96644,1.35052,0.1309,0.37572,0.1002,0.03499,1.94947,7.41555,1.42268,0.00137241,0.00137241,0.00137241
6,57.699,1.90552,2.76271,1.36024,0.34276,0.34356,0.26217,0.12856,1.79632,2.6105,1.28174,0.00135826,0.00135826,0.00135826
7,65.9463,1.90939,2.77673,1.36647,0.24204,0.39772,0.18679,0.08518,1.78491,4.65032,1.34384,0.00134412,0.00134412,0.00134412
8,73.8665,1.76239,2.5085,1.29478,0.41711,0.41592,0.3527,0.20025,1.487,2.0102,1.14447,0.00132997,0.00132997,0.00132997
9,81.8027,1.81494,2.61324,1.31625,0.48989,0.35576,0.34334,0.18565,1.54084,2.69492,1.17589,0.00131582,0.00131582,0.00131582
10,89.8674,1.77213,2.59991,1.29765,0.3696,0.41645,0.35721,0.2081,1.48611,2.4324,1.14258,0.00130168,0.00130168,0.00130168
11,97.5844,1.6963,2.43695,1.26935,0.39643,0.44811,0.35947,0.16937,1.62481,2.1842,1.17956,0.00128753,0.00128753,0.00128753
12,105.598,1.70777,2.46832,1.28721,0.43557,0.47087,0.38458,0.22114,1.45623,1.869,1.16043,0.00127338,0.00127338,0.00127338
13,112.667,1.71214,2.52711,1.29141,0.42778,0.48104,0.41152,0.2377,1.3847,1.7968,1.10122,0.00125923,0.00125923,0.00125923
14,119.49,1.68852,2.43175,1.26436,0.38805,0.51012,0.41869,0.25034,1.40291,1.75495,1.10346,0.00124509,0.00124509,0.00124509
15,126.418,1.71525,2.32318,1.26604,0.39763,0.48694,0.39553,0.24581,1.3733,1.85498,1.11188,0.00123094,0.00123094,0.00123094
16,133.363,1.69278,2.36903,1.25973,0.4626,0.50312,0.42287,0.26959,1.31591,1.75281,1.07105,0.00121679,0.00121679,0.00121679
17,140.279,1.66395,2.31912,1.2421,0.5191,0.40444,0.42141,0.23778,1.45853,2.24869,1.12941,0.00120265,0.00120265,0.00120265
